question,features,discernatron_reliable,accuracy,learner
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",FALSE,0.391,models\keras-cache_42d422922204.h5
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",FALSE,0.609,models\keras-cache_42d461154cc5.h5
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,0.609,models\keras-cache_42d41d7b57d5.h5
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,0.6755,models\keras-cache_42d4770f33e1.h5
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,0.6543,models\keras-cache_42d43e0a399b.h5
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,0.6915,models\keras-cache_42d421b75faf.h5
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,0.6809,models\keras-cache_42d49d5cf9.h5
Would you click on this page when searching for '...'?,survey-only,FALSE,0.5733,models\keras-cache_42d41f3d5af5.h5
Would you click on this page when searching for '...'?,survey & page info,FALSE,0.5573,models\keras-cache_42d447c55c77.h5
Would you click on this page when searching for '...'?,survey & traffic,FALSE,0.5973,models\keras-cache_42d419633c9c.h5
Would you click on this page when searching for '...'?,"survey, page info, and traffic",FALSE,0.5147,models\keras-cache_42d48964a00.h5
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",FALSE,0.6,models\keras-cache_42d456014231.h5
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",FALSE,0.4373,models\keras-cache_42d47f597164.h5
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,0.4,models\keras-cache_42d437827a67.h5
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",FALSE,0.4,models\keras-cache_42d429f55ad7.h5
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",FALSE,0.6,models\keras-cache_42d4d657f93.h5
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",FALSE,0.4773,models\keras-cache_42d449a27d70.h5
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",FALSE,0.576,models\keras-cache_42d434bd422f.h5
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",FALSE,0.5973,models\keras-cache_42d42b6d51ac.h5
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,0.6053,models\keras-cache_42d48b16357.h5
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,0.5867,models\keras-cache_42d440b773e8.h5
