question,features,discernatron_reliable,accuracy,learner
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,0.6283,models\keras-cache_42d4296c585c.h5
"If you searched for '...', would this article be relevant?",survey-only,FALSE,0.6489,models\keras-cache_42d442cc2f16.h5
"If you searched for '...', would this article be relevant?",survey & page info,FALSE,0.6569,models\keras-cache_42d4742e6795.h5
"If you searched for '...', would this article be relevant?",survey & traffic,FALSE,0.6303,models\keras-cache_42d42097947.h5
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",FALSE,0.6835,models\keras-cache_42d4261b4041.h5
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",FALSE,0.7261,models\keras-cache_42d435fd531.h5
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",FALSE,0.7128,models\keras-cache_42d47817194.h5
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,0.6489,models\keras-cache_42d47d7c429.h5
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",FALSE,0.6702,models\keras-cache_42d4465d19a5.h5
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",FALSE,0.391,models\keras-cache_42d45f291da8.h5
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,0.6569,models\keras-cache_42d458f857f0.h5
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,0.6755,models\keras-cache_42d4212a79cd.h5
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,0.6676,models\keras-cache_42d47c4bfd4.h5
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,0.7074,models\keras-cache_42d4283a3bd8.h5
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,0.7101,models\keras-cache_42d4698b4b16.h5
Would you click on this page when searching for '...'?,survey-only,FALSE,0.6187,models\keras-cache_42d48297cb0.h5
Would you click on this page when searching for '...'?,survey & page info,FALSE,0.5787,models\keras-cache_42d47f40c5d.h5
Would you click on this page when searching for '...'?,survey & traffic,FALSE,0.6213,models\keras-cache_42d4645a555e.h5
Would you click on this page when searching for '...'?,"survey, page info, and traffic",FALSE,0.5733,models\keras-cache_42d449c821b4.h5
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",FALSE,0.584,models\keras-cache_42d420437990.h5
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",FALSE,0.576,models\keras-cache_42d45bd370b.h5
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,0.608,models\keras-cache_42d45ff06217.h5
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",FALSE,0.5627,models\keras-cache_42d476e758b5.h5
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",FALSE,0.4,models\keras-cache_42d45880769.h5
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",FALSE,0.6213,models\keras-cache_42d43de55eb.h5
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",FALSE,0.584,models\keras-cache_42d470a62c20.h5
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",FALSE,0.5147,models\keras-cache_42d45b647348.h5
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,0.6293,models\keras-cache_42d4312a3779.h5
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,0.5573,models\keras-cache_42d45e7a7d4c.h5
